관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월,위도,경도
서울특별시 서초구청,서울특별시 서초구 -,서울특별시 서초구 서초4동 1311-1,생활방범,1,2017-09,37.5004480000,127.0190820000
서울특별시 서초구청,서울특별시 서초구 서초대로77길 55 삼거리,서울특별시 서초구 서초동 1309-9,생활방범,3,2017-12,37.5023290000,127.0246720000
서울특별시 서초구청,서울특별시 서초구 신반포로45길 23,서울특별시 서초구 잠원동 39-1,생활방범,1,2017-02,37.5117300000,127.0184970000
서울특별시 서초구청,서울특별시 서초구 신반포로33길 75,서울특별시 서초구 잠원동 65,생활방범,3,2017-12,37.5142010000,127.0076590000
서울특별시 서초구청,서울특별시 서초구 강남대로97길 64,서울특별시 서초구 잠원동 23-12,생활방범,4,2017-12,37.5139050000,127.0161740000
서울특별시 서초구청,서울특별시 서초구 강남대로97길 10,서울특별시 서초구 잠원동 21-5,생활방범,6,2017-12,37.5147330000,127.0190160000
서울특별시 서초구청,서울특별시 서초구 강남대로101안길 8,서울특별시 서초구 잠원동 11-14,생활방범,5,2017-05,37.5165800000,127.0179930000
서울특별시 서초구청,서울특별시 서초구 신반포로45길 29-15,서울특별시 서초구 잠원동 42-1,생활방범,5,2017-06,37.5112140000,127.0176060000
서울특별시 서초구청,서울특별시 서초구 강남대로95길 9-25,서울특별시 서초구 잠원동 28-3,생활방범,3,2017-12,37.5126730000,127.0195210000
서울특별시 서초구청,서울특별시 서초구 신반포로 321,서울특별시 서초구 잠원동 42-11,생활방범,5,2017-08,37.5109450000,127.0188530000
서울특별시 서초구청,서울특별시 서초구 신반포로45길 89,서울특별시 서초구 잠원동 32-1,생활방범,4,2017-07,37.5135570000,127.0155290000
서울특별시 서초구청,서울특별시 서초구 강남대로99길 35,서울특별시 서초구 잠원동 22-1,생활방범,5,2017-03,37.5147930000,127.0174800000
서울특별시 서초구청,서울특별시 서초구 강남대로95길 48-22,서울특별시 서초구 잠원동 25-29,생활방범,4,2017-03,37.5132410000,127.0170910000
서울특별시 서초구청,서울특별시 서초구 신반포로41길 32,서울특별시 서초구 잠원동 44-1,생활방범,4,2017-03,37.5114700000,127.0164170000
서울특별시 서초구청,서울특별시 서초구 잠원로4길 33-9,서울특별시 서초구 잠원동 62-4,생활방범,4,2017-03,37.5133850000,127.0101100000
서울특별시 서초구청,서울특별시 서초구 -,서울특별시 서초구 잠원동 7-1,생활방범,2,2017-11,37.5191020000,127.0179110000
서울특별시 서초구청,서울특별시 서초구 신반포로47길 33-2,서울특별시 서초구 잠원동 35-29,생활방범,3,2017-11,37.5121770000,127.0190120000
서울특별시 서초구청,서울특별시 서초구 강남대로105길 15,서울특별시 서초구 잠원동 12-1,생활방범,4,2017-11,37.5172540000,127.0180190000
서울특별시 서초구청,서울특별시 서초구 신반포로45길 54,서울특별시 서초구 잠원동 35-4,생활방범,4,2017-10,37.5125900000,127.0172460000
서울특별시 서초구청,서울특별시 서초구 나루터로15길 36,서울특별시 서초구 잠원동 9-18,생활방범,3,2017-12,37.5170750000,127.0172600000
서울특별시 서초구청,서울특별시 서초구 강남대로 581 삼거리,서울특별시 서초구 잠원동 28-1,생활방범,3,2017-12,37.5137520000,127.0193760000
서울특별시 서초구청,서울특별시 서초구 서초중앙로29길,서울특별시 서초구 반포4동 46,교통단속,1,2017-11,37.4987120000,127.0105450000
서울특별시 서초구청,서울특별시 서초구 신반포로176,서울특별시 서초구 반포4동 19-3,교통단속,1,2017-11,37.5057060000,127.0040160000
서울특별시 서초구청,서울특별시 서초구 고무래로8길2,서울특별시 서초구 반포4동 55-6,교통단속,1,2017-11,37.5028530000,127.0106510000
서울특별시 서초구청,서울특별시 서초구 반포대로222,서울특별시 서초구 반포4동 505,교통단속,1,2017-11,37.5000210000,127.0041980000
서울특별시 서초구청,서울특별시 서초구 반포대로222,서울특별시 서초구 반포4동 505,교통단속,1,2017-11,37.5025710000,127.0050830000
서울특별시 서초구청,서울특별시 서초구 서초중앙로31길5,서울특별시 서초구 반포4동 45-14,교통단속,1,2017-06,37.4997010000,127.0116130000
서울특별시 서초구청,서울특별시 서초구 고무래로6-7,서울특별시 서초구 반포4동 59-6,교통단속,1,2017-11,37.5036850000,127.0091880000
서울특별시 서초구청,서울특별시 서초구 고무래로10길19,서울특별시 서초구 반포4동 53-4,교통단속,1,2017-06,37.5009380000,127.0101000000
서울특별시 서초구청,서울특별시 서초구 서초중앙로31길14-5,서울특별시 서초구 반포4동 49-8,교통단속,1,2017-06,37.5002720000,127.0106450000
서울특별시 서초구청,서울특별시 서초구 신반포로222,서울특별시 서초구 반포4동 19-6,교통단속,1,2017-06,37.5069670000,127.0082060000
서울특별시 서초구청,서울특별시 서초구 서초중앙로29길,서울특별시 서초구 반포4동 46,교통단속,1,2017-10,37.4995560000,127.0099610000
서울특별시 서초구청,서울특별시 서초구 서래로5길2,서울특별시 서초구 반포4동 95-9,교통단속,1,2017-06,37.4978580000,126.9982260000
서울특별시 서초구청,서울특별시 서초구 서래로10길,서울특별시 서초구 반포4동 68-2,교통단속,1,2017-11,37.4994150000,126.9991250000
서울특별시 서초구청,서울특별시 서초구 서래로8길1,서울특별시 서초구 반포4동 94-8,교통단속,1,2017-06,37.4986910000,126.9984530000
서울특별시 서초구청,서울특별시 서초구 서래로12,서울특별시 서초구 반포4동 88-1,교통단속,1,2017-11,37.4960810000,126.9982460000
서울특별시 서초구청,서울특별시 서초구 동광로49길31,서울특별시 서초구 반포4동 82-13,교통단속,1,2017-10,37.4946760000,127.0022480000
서울특별시 서초구청,서울특별시 서초구 사평대로140,서울특별시 서초구 반포4동 66-1,교통단속,1,2017-05,37.5004430000,126.9997100000
서울특별시 서초구청,서울특별시 서초구 사평대로112,서울특별시 서초구 반포4동 107-1,교통단속,1,2017-06,37.4993780000,126.9970440000
서울특별시 서초구청,서울특별시 서초구 사평대로20길36,서울특별시 서초구 반포4동 107-82,교통단속,1,2017-06,37.4978730000,126.9969220000
서울특별시 서초구청,서울특별시 서초구 반포대로235,서울특별시 서초구 반포4동 63-7,교통단속,1,2017-11,37.5002210000,127.0037160000
서울특별시 서초구청,서울특별시 서초구 서래로6길16,서울특별시 서초구 반포4동 75-1,교통단속,1,2017-06,37.4977220000,126.9990650000
서울특별시 서초구청,서울특별시 서초구 서래로24,서울특별시 서초구 반포4동 90-10,교통단속,1,2017-11,37.4969950000,126.9983610000
서울특별시 서초구청,서울특별시 서초구 서래로2길21,서울특별시 서초구 반포4동 86-1,교통단속,3,2017-05,37.4960060000,126.9994530000
서울특별시 서초구청,서울특별시 서초구 반포대로37길59,서울특별시 서초구 반포4동 산94-4,교통단속,1,2017-05,37.4957220000,127.0019680000
서울특별시 서초구청,서울특별시 서초구 사평대로28길60,서울특별시 서초구 반포4동 73-2,교통단속,1,2017-05,37.4980890000,127.0005070000
서울특별시 서초구청,서울특별시 서초구 고무래로6-3,서울특별시 서초구 반포4동 58-7,교통단속,1,2017-05,37.5038810000,127.0100570000
서울특별시 서초구청,서울특별시 서초구,서울특별시 서초구 반포4동 118-15,교통단속,1,2017-06,37.5043770000,127.0089550000
서울특별시 서초구청,서울특별시 서초구,서울특별시 서초구 반포4동 118-15,교통단속,1,2017-06,37.5040230000,127.0079140000
서울특별시 서초구청,서울특별시 서초구,서울특별시 서초구 반포4동 118-15,교통단속,1,2017-06,37.5036890000,127.0070140000
서울특별시 서초구청,서울특별시 서초구 신반포로?지하 200,서울특별시 서초구 반포4동 19-10,교통단속,1,2017-06,37.5034330000,127.0024710000
서울특별시 서초구청,서울특별시 서초구 서래로 10길 1,서울특별시 서초구 반포4동 93-6,교통단속,1,2017-06,37.4993140000,126.9983610000
