사고번호,발생일시,발생요일,발생시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자차종,가해운전자성별,가해운전자연령,가해운전자상해정도,피해운전자차종,피해운전자성별,피해운전자연령,피해운전자상해정도,위도,경도
2.0170802E15,2017080206,수요일,서울특별시 성동구 성수동2가,사망사고,1,0,0,0,차대차 - 측면충돌,중앙선침범,포장 - 기타,맑음,단일로 - 기타,자전,남,72세,사망,승용,남,62세,상해없음,37.54803715,127.06403925
2.0170803E15,2017080303,목요일,서울특별시 영등포구 양평동2가,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,52세,상해없음,보행자,남,74세,사망,37.52468126,126.88185692
2.0170806E15,2017080604,일요일,서울특별시 노원구 상계동,사망사고,1,0,0,0,차량단독 - 전도전복,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,이륜,남,25세,사망,미분류,미,미분,미분류,37.67779256,127.10173624
2.0170806E15,2017080623,일요일,서울특별시 강서구 공항동,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,남,65세,상해없음,자전거,남,60세,사망,37.54867943,126.81563675
2.017081E15,2017081021,목요일,서울특별시 동대문구 용두동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음,비,단일로 - 기타,승합,남,46세,상해없음,보행자,남,54세,사망,37.56660917,126.97839369
2.017083E15,2017083005,수요일,서울특별시 양천구 신월동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,37세,상해없음,보행자,여,23세,사망,37.52599016,126.86355747
2.017083E15,2017083013,수요일,서울특별시 동대문구 전농동,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,건설,남,32세,상해없음,보행자,남,77세,사망,37.57751069,127.04477332
2.0170902E15,2017090204,토요일,서울특별시 용산구 한남동,사망사고,1,0,0,0,차량단독 - 공작물충돌,과속,포장 - 건조,맑음,단일로 - 고가도로위,승용,남,29세,사망,,,,,37.5449023,126.98814446
2.0170903E15,2017090309,일요일,서울특별시 성북구 안암동2가,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,76세,기타불명,보행자,남,77세,사망,37.58632638,127.02210073
2.0170905E15,2017090508,화요일,서울특별시 중랑구 망우동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,53세,상해없음,보행자,여,62세,사망,37.60057944,127.10580735
2.0170906E15,2017090615,수요일,서울특별시 강남구 자곡동,사망사고,1,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 젖음,비,단일로 - 기타,화물,남,25세,사망,화물,남,46세,경상,37.48225915,127.11141783
2.0170907E15,2017090720,목요일,서울특별시 강동구 고덕동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,64세,상해없음,보행자,남,88세,사망,37.55630222,127.16308061
2.0170909E15,2017090904,토요일,서울특별시 성북구 석관동,사망사고,1,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,보행자,남,52세,사망,37.60873782,127.05303513
2.017093E15,2017093004,토요일,서울특별시 강남구 청담동,사망사고,1,0,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,승용,남,56세,상해없음,이륜,남,27세,사망,37.52749152,127.05577254
2.0171002E15,2017100204,월요일,서울특별시 동대문구 장안동,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 젖음,흐림,교차로 - 교차로안,이륜,남,21세,사망,,,,,37.57278641,127.06844743
2.0171002E15,2017100205,월요일,서울특별시 서대문구 홍제동,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승합,남,48세,상해없음,보행자,남,77세,사망,37.58900965,126.93761944
2.0171004E15,2017100402,수요일,서울특별시 강북구 미아동,사망사고,1,0,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,51세,사망,승용,남,23세,상해없음,37.62346918,127.01291072
2.0171006E15,2017100620,금요일,서울특별시 용산구 용산동6가,사망사고,1,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,64세,상해없음,보행자,남,55세,사망,37.51983114,126.98502271
2.0171009E15,2017100904,월요일,서울특별시 도봉구 도봉동,사망사고,1,0,0,0,차량단독 - 기타,안전운전불이행,포장 - 기타,맑음,단일로 - 기타,이륜,남,34세,상해없음,,,,,37.68560495,127.05095242
2.017101E15,2017101023,화요일,서울특별시 성북구 장위동,사망사고,1,0,0,0,차대차 - 기타,안전운전불이행,포장 - 젖음,비,단일로 - 기타,승용,남,64세,상해없음,승용,여,55세,상해없음,37.62108386,127.0524173
2.017102E15,2017102006,금요일,서울특별시 성북구 장위동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로횡단,승용,남,65세,상해없음,보행자,여,74세,사망,37.61551871,127.05139689
2.017102E15,2017102012,금요일,서울특별시 동대문구 용두동,사망사고,2,0,0,0,차대사람 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,57세,상해없음,보행자,남,76세,사망,37.57845082,127.04314809
